Periodo,indice_ipc_nivel,tipo_cambio_nivel,inflacion_mensual,variacion_dolar
2020-10-01,353.0444,83.13461904761905,3.6,4.663825159538093
2020-11-01,363.5381,85.48457894736842,3.0,2.826692329465441
2020-12-01,377.0507,88.18144444444445,3.7,3.154797660916664
2021-01-01,389.4454,91.47395,3.3,3.733785011459956
2021-02-01,403.4854,93.99655555555555,3.6,2.757731086889259
2021-03-01,424.4539,96.63390909090909,5.2,2.8057980633074964
2021-04-01,441.8955,98.52529999999999,4.1,1.9572745497768995
2021-05-01,456.7856,99.61221052631579,3.4,1.1031791086307807
2021-06-01,470.784,100.61852380952381,3.1,1.010230852112426
2021-07-01,485.3036,101.61914285714286,3.1,0.9944680260995264
2021-08-01,497.9371,102.56828571428572,2.6,0.9340197431867425
2021-09-01,517.0425,103.78131818181818,3.8,1.1826584202757173
2021-10-01,536.5423,104.7658947368421,3.8,0.9487030732246104
2021-11-01,548.7073,105.83238095238096,2.3,1.017970798815515
2021-12-01,570.9981,107.43834999999999,4.1,1.517464724091977
2022-01-01,593.4219,109.47980952380952,3.9,1.9001218129369501
2022-02-01,620.5007,111.94505263157896,4.6,2.251778769521251
2022-03-01,661.8688,114.92071428571428,6.7,2.658144852482658
2022-04-01,702.829,118.69510526315788,6.2,3.284343471847695
2022-05-01,736.3637,123.2021,4.8,3.7971192888280436
2022-06-01,776.6701,127.99279999999999,5.5,3.888488913744159
2022-07-01,833.8894,135.21285714285716,7.4,5.640986948373006
2022-08-01,891.851,142.29077272727272,7.0,5.2346468627147535
2022-09-01,945.6836,150.42342857142856,6.0,5.715518784723739
2022-10-01,1007.628,159.47236842105264,6.6,6.015645259227154
2022-11-01,1058.003,169.15214285714288,5.0,6.0698756354661265
2022-12-01,1114.536,179.98275,5.3,6.402879064916189
2023-01-01,1180.967,189.6074090909091,6.0,5.347545301374201
2023-02-01,1259.995,199.0896111111111,6.7,5.000965977893657
2023-03-01,1358.499,210.33904545454544,7.8,5.650437649986695
2023-04-01,1475.138,223.62272222222222,8.6,6.3153641963956675
2023-05-01,1592.45,241.49105,8.0,7.990390064217778
2023-06-01,1685.161,260.9522,5.8,8.0587458624243
2023-07-01,1789.428,279.59366666666665,6.2,7.143632690840174
2023-08-01,2008.808,337.29145454545454,12.3,20.63630001589971
2023-09-01,2253.479,366.8733809523809,12.2,8.770434592477883
2023-10-01,2447.565,367.4201,8.6,0.1490211816948417
2023-11-01,2763.435,371.65790000000004,12.9,1.1533936221780117
2023-12-01,3456.643,687.356894736842,25.1,84.94343716004475
2024-01-01,4132.479,863.9621363636364,19.6,25.6933833033578
2024-02-01,4751.273,880.5972105263158,15.0,1.9254401856886316
2024-03-01,5296.823,895.1264210526315,11.5,1.6499269305692899
2024-04-01,5785.57,911.84705,9.2,1.8679628434725037
2024-05-01,6034.383,927.3646363636364,4.3,1.7017751347264243
2024-06-01,6297.096,942.2024705882352,4.4,1.6000000046131335
2024-07-01,6551.322,961.709409090909,4.0,2.0703552698705385
2024-08-01,6822.401,981.8143636363637,4.1,2.090543604482309
2024-09-01,7076.041,996.4936666666666,3.7,1.4951200118864527
2024-10-01,7275.604,1013.2004545454546,2.8,1.676557356824282
2024-11-01,7464.867,1030.782105263158,2.6,1.7352588659853119
2024-12-01,7678.775,1049.332105263158,2.9,1.7996043882876789
2025-01-01,7834.148,1070.7154545454546,2.0,2.03780568373384
2025-02-01,8009.227,1087.2885,2.2,1.547847785720169
2025-03-01,8317.925,1098.7716666666665,3.9,1.0561287704842215
2025-04-01,8547.313,1151.4347368421052,2.8,4.792903910163804
2025-05-01,8675.5948,1170.5194999999999,1.5,1.6574767589725647
2025-06-01,8851.2214,1198.4636842105263,2.0,2.3873317967386676
2025-07-01,9016.5562,1287.5977272727273,1.9,7.437358698183427
2025-08-01,9185.3068,1343.779,1.9,4.363262806177115
2025-09-01,9377.7681,1423.6127272727272,2.1,5.940986372962165
2025-10-01,9602.5137,1465.2813636363635,2.4,2.926964304643631
2025-11-01,9840.8457,1455.4529411764706,2.5,-0.6707532562552965
2025-12-01,10115.6707,1471.5947368421052,2.8,1.1090565149146636
2026-01-01,10395.7458,1469.937619047619,2.8,-0.11260693946503197
2026-02-01,10667.6896,1431.8777777777777,2.6,-2.5892147242615904
2026-03-01,11031.5404,1418.6200000000001,3.4,-0.9259014968688972
2026-04-01,11336.5576,1407.2875,2.8,-0.798839717471922
2026-05-01,11594.5499,1419.192105263158,2.3,0.8459256024911932
2026-06-01,11810.9464,1471.462380952381,1.9,3.683100793428573
2026-07-01,12078.7372,1509.0409523809524,2.3,2.553824815028527
